"NAF","HS4","weight"
"2229B",9619,0.0001
"2229B",6406,0.0156
"2311Z",7003,0.2406
"2311Z",7005,0.7579
"2311Z",7004,0.0015
"2312Z",7009,0.2459
"2312Z",7006,0.0467
"2312Z",7008,0.0574
"2312Z",7007,0.65
"2313Z",7020,0.038
"2313Z",7010,0.5055
"2313Z",7013,0.4564
"2314Z",7019,1
"2319Z",7015,0.0097
"2319Z",7020,0.0299
"2319Z",7001,0.0078
"2319Z",9405,0.4232
"2319Z",7017,0.0091
"2319Z",7016,0.0058
"2319Z",7011,0.0018
"2319Z",7018,0.0301
"2319Z",7010,0.3976
"2319Z",7002,0.0369
"2319Z",8546,0.0247
"2319Z",7014,0.0235
"2320Z",3816,0.1427
"2320Z",6815,0.5929
"2320Z",6902,0.1929
"2320Z",6903,0.0614
"2320Z",6901,0.0101
"2331Z",6907,1
"2332Z",6905,0.8606
"2332Z",6904,0.1146
"2332Z",6906,0.0248
"2341Z",6911,0.5251
"2341Z",6913,0.1411
"2341Z",6912,0.3338
"2342Z",6910,1
"2343Z",8546,0.2338
"2343Z",8547,0.7662
"2344Z",8505,0.7151
"2344Z",6909,0.2849
"2349Z",6914,0.1906
"2349Z",6909,0.8094
"2351Z",2523,1
"2352Z",2518,0.0187
"2352Z",2522,0.6539
"2352Z",2520,0.3274
"2361Z",6810,0.2981
"2361Z",9406,0.7019
"2362Z",6809,1
"2363Z",3824,1
"2364Z",3824,1
"2365Z",6808,0.4635
"2365Z",6811,0.5365
"2369Z",6809,0.2829
"2369Z",6810,0.7171
"2370Z",6803,0.0225
"2370Z",6802,0.8479
"2370Z",6801,0.1296
"2391Z",6804,0.3161
"2391Z",6805,0.6839
"2399Z",2517,0.0827
"2399Z",2818,0.2408
"2399Z",6815,0.356
"2399Z",3801,0.1149
"2399Z",6814,0.0046
"2399Z",6807,0.0632
"2399Z",6806,0.094
"2399Z",2715,0.0098
"2399Z",6813,0.0333
"2399Z",6812,0.0008
"2451Z",7307,0.6358
"2451Z",7303,0.3642
"2511Z",7610,0.2041
"2511Z",9406,0.1987
"2511Z",7308,0.5971
"2512Z",7610,0.2548
"2512Z",7308,0.7452
"2521Z",7322,0.0642
"2521Z",8403,0.9358
"2529Z",7611,0.0477
"2529Z",7309,0.4268
"2529Z",7613,0.1607
"2529Z",7311,0.3648
"2530Z",8404,0.063
"2530Z",8401,0.8258
"2530Z",8402,0.1112
"2540Z",9301,0.1877
"2540Z",9304,0.0332
"2540Z",9303,0.0257
"2540Z",9620,0.0001
"2540Z",9305,0.1261
"2540Z",9306,0.6252
"2540Z",9302,0.0021
"2572Z",8301,0.2916
"2572Z",8302,0.7084
"2573A",8480,1
"2573B",8208,0.0915
"2573B",8201,0.0262
"2573B",8207,0.4576
"2573B",8205,0.225
"2573B",8203,0.0422
"2573B",8202,0.0497
"2573B",8204,0.0456
"2573B",8209,0.0411
"2573B",8206,0.0212
"2591Z",7310,1
"2592Z",7310,0.2775
"2592Z",7612,0.2452
"2592Z",8309,0.4773
"2593Z",7319,0.0027
"2593Z",7419,0.1152
"2593Z",7320,0.1249
"2593Z",7415,0.0185
"2593Z",7614,0.0066
"2593Z",7413,0.0349
"2593Z",7616,0.4207
"2593Z",7315,0.0813
"2593Z",7314,0.0459
"2593Z",7312,0.0861
"2593Z",7317,0.0144
"2593Z",8311,0.0477
"2593Z",7313,0.0011
"2594Z",7318,0.9783
"2594Z",7415,0.0217
"2599A",8210,0.0357
"2599A",7324,0.0352
"2599A",7418,0.0265
"2599A",7615,0.486
"2599A",7323,0.4166
"2599B",8305,0.0039
"2599B",8306,0.0074
"2599B",7419,0.0493
"2599B",8505,0.0638
"2599B",7316,0.0015
"2599B",8307,0.0371
"2599B",8007,0.01
"2599B",8308,0.0547
"2599B",9615,0.005
"2599B",7508,0.0249
"2599B",8487,0.0001
"2599B",7806,0.0027
"2599B",8304,0.0014
"2599B",7616,0.1801
"2599B",7907,0.0093
"2599B",8310,0.004
"2599B",7326,0.4572
"2599B",8303,0.0078
"2599B",7325,0.0799
"2410Z",7216,0.0135
"2410Z",7202,0.0231
"2410Z",7201,0.0068
"2410Z",7203,0.0005
"2410Z",7204,0.1464
"2410Z",7205,0.0062
"2410Z",7206,0.0007
"2410Z",7207,0.0365
"2410Z",7208,0.168
"2410Z",7209,0.0181
"2410Z",7210,0.1298
"2410Z",7211,0.0088
"2410Z",7212,0.0128
"2410Z",7213,0.0274
"2410Z",7214,0.0305
"2410Z",7218,0.0044
"2410Z",7219,0.0812
"2410Z",7220,0.0203
"2410Z",7222,0.0246
"2410Z",7224,0.0242
"2410Z",7225,0.1408
"2410Z",7226,0.0179
"2410Z",7227,0.0044
"2410Z",7228,0.0264
"2410Z",7301,0.0007
"2410Z",7302,0.0119
"2410Z",7221,0.0141
"2420Z",7304,0.5116
"2420Z",7306,0.1957
"2420Z",7307,0.2163
"2420Z",7305,0.0764
"2431Z",7222,0.3225
"2431Z",7216,0.1776
"2431Z",7215,0.1535
"2431Z",7228,0.3464
"2432Z",7226,0.2988
"2432Z",7211,0.1471
"2432Z",7220,0.3397
"2432Z",7212,0.2144
"2433Z",7308,0.5261
"2433Z",7222,0.3056
"2433Z",7216,0.1683
"2434Z",7223,0.256
"2434Z",7229,0.1148
"2434Z",7217,0.6292
"2441Z",7107,0.0052
"2441Z",7106,0.0691
"2441Z",7110,0.0807
"2441Z",7108,0.7543
"2441Z",7115,0.0894
"2441Z",7111,0.0011
"2441Z",7109,0.0004
"2442Z",7608,0.0101
"2442Z",7609,0.0081
"2442Z",7601,0.1558
"2442Z",7603,0.0054
"2442Z",2818,0.0962
"2442Z",7604,0.0946
"2442Z",7605,0.0435
"2442Z",7606,0.504
"2442Z",7607,0.0822
"2443Z",8001,0.0204
"2443Z",7901,0.4079
"2443Z",7903,0.0046
"2443Z",7905,0.3176
"2443Z",7804,0.0321
"2443Z",8003,0.0163
"2443Z",7801,0.1983
"2443Z",7904,0.0028
"2444Z",7402,0.0027
"2444Z",7408,0.4105
"2444Z",7410,0.0109
"2444Z",7407,0.2222
"2444Z",7403,0.1337
"2444Z",7411,0.0349
"2444Z",7409,0.1008
"2444Z",7412,0.0695
"2444Z",7405,0.0013
"2444Z",7401,0.0023
"2444Z",7406,0.0112
"2445Z",8112,0.1238
"2445Z",8106,0.0019
"2445Z",8113,0.0194
"2445Z",7501,0.0006
"2445Z",8111,0.0046
"2445Z",8110,0.0005
"2445Z",8107,0.0014
"2445Z",7507,0.0608
"2445Z",8103,0.0073
"2445Z",8105,0.0526
"2445Z",8104,0.0095
"2445Z",7502,0.0569
"2445Z",8109,0.1079
"2445Z",7505,0.254
"2445Z",8101,0.0317
"2445Z",7506,0.0428
"2445Z",7504,0.0145
"2445Z",8102,0.0032
"2445Z",8108,0.2065
"2446Z",2844,1
"2452Z",7307,1
"3102Z",9401,0.5147
"3102Z",9403,0.4853
"3101Z",9401,0.5147
"3101Z",9403,0.4853
"3250A",8419,0.1237
"3250A",9025,0.0141
"3250A",9021,0.2398
"3250A",3006,0.0533
"3250A",8421,0.2282
"3250A",9402,0.0091
"3250A",6307,0.0225
"3250A",9018,0.2894
"3250A",9019,0.02
"3250B",9001,0.4058
"3250B",9004,0.3855
"3250B",9003,0.2087
"3291Z",9603,1
"3299Z",9612,0.0748
"3299Z",9613,0.1212
"3299Z",3606,0.0016
"3299Z",6704,0.0033
"3299Z",6702,0.0033
"3299Z",9610,0.0039
"3299Z",4203,0.2433
"3299Z",3406,0.0252
"3299Z",9616,0.0734
"3299Z",9602,0.0126
"3299Z",9607,0.012
"3299Z",9617,0.0035
"3299Z",4905,0.0032
"3299Z",9608,0.1617
"3299Z",6603,0.0004
"3299Z",9609,0.0236
"3299Z",9020,0.0386
"3299Z",9614,0.0008
"3299Z",9604,0.0004
"3299Z",9618,0.0111
"3299Z",9611,0.0011
"3299Z",4206,0.0015
"3299Z",4421,0.0346
"3299Z",6703,0.0003
"3299Z",6602,0.002
"3299Z",9023,0.031
"3299Z",9601,0.0004
"3299Z",6506,0.0795
"3299Z",9606,0.0108
"3299Z",6601,0.0087
"3299Z",9505,0.0123
"3103Z",9404,1
"3109A",9401,1
"3109B",9403,0.4853
"3109B",9401,0.5147
"3211Z",7118,1
"3212Z",7105,0.0006
"3212Z",7103,0.0409
"3212Z",7115,0.0173
"3212Z",7116,0.0053
"3212Z",7104,0.0028
"3212Z",7102,0.0595
"3212Z",7101,0.0009
"3212Z",7114,0.0059
"3212Z",7113,0.8213
"3212Z",9113,0.0456
"3213Z",9113,0.412
"3213Z",7117,0.588
"3220Z",9201,0.0446
"3220Z",9206,0.032
"3220Z",9202,0.0761
"3220Z",9205,0.4476
"3220Z",9207,0.1338
"3220Z",9208,0.0097
"3220Z",9209,0.2562
"3230Z",9506,0.1987
"3230Z",4203,0.1503
"3230Z",6403,0.4839
"3230Z",6402,0.1498
"3230Z",9507,0.0174
"2571Z",8212,0.342
"2571Z",8213,0.0636
"2571Z",9307,0.0282
"2571Z",8215,0.2269
"2571Z",8211,0.2696
"2571Z",8214,0.0696
"1103Z",2206,1
"1104Z",2205,1
"1105Z",2303,0.1872
"1105Z",2202,0.5476
"1105Z",2203,0.2652
"1106Z",1107,1
"1107A",2201,1
"1107B",2202,1
"1071B",1905,1
"1200Z",2401,0.4281
"1200Z",2403,0.5006
"1200Z",2402,0.0713
"1011Z",1502,0.032
"1011Z",1501,0.0294
"1011Z",5101,0.0061
"1011Z",4103,0.007
"1011Z",202,0.0288
"1011Z",510,0.0029
"1011Z",4101,0.0039
"1011Z",4102,0.0076
"1011Z",206,0.0829
"1011Z",209,0.0063
"1011Z",203,0.3017
"1011Z",204,0.0283
"1011Z",502,0.0001
"1011Z",205,0.0086
"1011Z",511,0.0279
"1011Z",507,0.0001
"1011Z",506,0.0043
"1011Z",504,0.0393
"1011Z",208,0.0207
"1011Z",201,0.362
"1012Z",6701,0.0033
"1012Z",1501,0.073
"1012Z",505,0.0584
"1012Z",207,0.8497
"1012Z",209,0.0157
"1013A",2301,0.1484
"1013A",210,0.0781
"1013A",1601,0.2217
"1013A",1602,0.5519
"1013B",1602,0.648
"1013B",1601,0.2603
"1013B",210,0.0917
"1020Z",303,0.1163
"1020Z",1604,0.1092
"1020Z",1605,0.0803
"1020Z",511,0.0411
"1020Z",302,0.1811
"1020Z",308,0.0001
"1020Z",2301,0.0794
"1020Z",307,0.1442
"1020Z",306,0.0813
"1020Z",305,0.047
"1020Z",304,0.1201
"1031Z",2005,0.3731
"1031Z",712,0.0566
"1031Z",1105,0.0065
"1031Z",710,0.2165
"1031Z",2004,0.3474
"1032Z",2009,1
"1039A",712,0.0528
"1039A",2005,0.3482
"1039A",710,0.2021
"1039A",2001,0.0087
"1039A",711,0.0027
"1039A",2002,0.0281
"1039A",2003,0.0235
"1039A",2004,0.3242
"1039A",2308,0.0096
"1039B",813,0.0674
"1039B",804,0.1027
"1039B",803,0.1068
"1039B",806,0.0262
"1039B",814,0.0013
"1039B",2008,0.2436
"1039B",2007,0.2755
"1039B",801,0.0096
"1039B",802,0.1246
"1039B",812,0.0011
"1039B",811,0.0316
"1039B",1202,0.0004
"1039B",2308,0.0093
"1041A",1508,0.0083
"1041A",2306,0.0886
"1041A",1506,0.0329
"1041A",1515,0.1431
"1041A",1514,0.1683
"1041A",1513,0.0114
"1041A",1503,0.0025
"1041A",1512,0.3493
"1041A",1510,0.0017
"1041A",1511,0.0063
"1041A",1509,0.0499
"1041A",1507,0.04
"1041A",1504,0.0479
"1041A",1404,0.0082
"1041A",1208,0.0015
"1041A",2305,0.0001
"1041A",2304,0.0402
"1041B",1514,0.1965
"1041B",1511,0.0073
"1041B",1507,0.0467
"1041B",1508,0.0097
"1041B",1522,0.0071
"1041B",1510,0.002
"1041B",1512,0.4079
"1041B",1513,0.0133
"1041B",1515,0.1671
"1041B",1521,0.0099
"1041B",1509,0.0582
"1041B",1516,0.0744
"1042Z",1517,1
"1051A",401,0.5577
"1051A",403,0.4423
"1051B",405,1
"1051C",406,1
"1051D",402,0.3845
"1051D",404,0.2483
"1051D",3501,0.0997
"1051D",1702,0.2675
"1052Z",2105,1
"1061A",1101,0.0439
"1061A",1106,0.0076
"1061A",1901,0.9074
"1061A",1102,0.0128
"1061A",2302,0.0283
"1061B",1103,0.1085
"1061B",1904,0.7016
"1061B",1106,0.0295
"1061B",1006,0.0946
"1061B",1104,0.0659
"1062Z",1109,0.1542
"1062Z",1108,0.1222
"1062Z",3505,0.2057
"1062Z",1515,0.0887
"1062Z",1702,0.2822
"1062Z",1903,0.0021
"1062Z",2303,0.1449
"1071A",1905,1
"1071C",1905,1
"1071D",1905,1
"1072Z",1905,1
"1073Z",1902,1
"1081Z",1701,0.6235
"1081Z",1702,0.2464
"1081Z",1703,0.0037
"1081Z",2303,0.1265
"1082Z",1802,0.0003
"1082Z",2006,0.0046
"1082Z",1805,0.0562
"1082Z",1704,0.0994
"1082Z",1804,0.1893
"1082Z",1806,0.5935
"1082Z",1803,0.0567
"1083Z",902,0.043
"1083Z",2101,0.1594
"1083Z",901,0.7976
"1084Z",2103,0.5008
"1084Z",910,0.0717
"1084Z",909,0.0104
"1084Z",2501,0.124
"1084Z",905,0.1409
"1084Z",906,0.0141
"1084Z",904,0.0786
"1084Z",2209,0.0492
"1084Z",908,0.0068
"1084Z",907,0.0036
"1085Z",2106,0.883
"1085Z",1902,0.117
"1086Z",1602,0.1593
"1086Z",2007,0.1111
"1086Z",2005,0.1359
"1086Z",2104,0.0432
"1086Z",1901,0.5506
"1089Z",1702,0.102
"1089Z",1302,0.0555
"1089Z",407,0.0327
"1089Z",3502,0.0133
"1089Z",408,0.0178
"1089Z",1901,0.3731
"1089Z",1603,0.0047
"1089Z",2106,0.3259
"1089Z",2102,0.0457
"1089Z",2104,0.0292
"1091Z",1214,0.0443
"1091Z",2309,0.9557
"1092Z",2309,1
"1101Z",2208,1
"1102A",2204,1
"1102B",2204,0.9997
"1102B",2307,0.0003
"1920Z",2710,0.7536
"1920Z",2713,0.0242
"1920Z",2701,0.0017
"1920Z",2712,0.0058
"1920Z",2711,0.2146
"1920Z",2702,0.0001
"1910Z",2704,0.2311
"1910Z",2706,0.7609
"1910Z",2708,0.0079
"2899B",8419,0.2122
"2899B",8440,0.0018
"2899B",9031,0.1758
"2899B",8442,0.0055
"2899B",8401,0.038
"2899B",8805,0.0044
"2899B",8443,0.1284
"2899B",8466,0.0755
"2899B",8474,0.0639
"2899B",8475,0.0124
"2899B",8479,0.2754
"2899B",8486,0.0001
"2899B",9508,0.0067
"2652Z",9101,0.4388
"2652Z",9102,0.3901
"2652Z",9103,0.0041
"2652Z",9105,0.0124
"2652Z",9106,0.0251
"2652Z",9108,0.0167
"2652Z",9109,0.0002
"2652Z",9110,0.0012
"2652Z",9111,0.0253
"2652Z",9112,0.0004
"2652Z",9114,0.0592
"2652Z",9104,0.012
"2652Z",9107,0.0144
"2620Z",8523,0.1563
"2620Z",8473,0.3003
"2620Z",8443,0.1229
"2620Z",8471,0.3135
"2620Z",8528,0.107
"2630Z",8531,0.0767
"2630Z",8525,0.738
"2630Z",8519,0.0035
"2630Z",8517,0.074
"2630Z",8529,0.1078
"2640Z",8522,0.006
"2640Z",8517,0.059
"2640Z",8519,0.0028
"2640Z",8521,0.0438
"2640Z",8528,0.0943
"2640Z",8529,0.086
"2640Z",8518,0.0726
"2640Z",8527,0.0136
"2640Z",9504,0.0336
"2640Z",8525,0.5882
"2651A",8526,0.5651
"2651A",9014,0.4349
"3521Z",2705,1
"3511Z",2716,1
"3700Z",3825,1
"3811Z",8109,0.0194
"3811Z",8112,0.0223
"3811Z",2619,0.0046
"3811Z",4401,0.0213
"3811Z",8908,0.0055
"3811Z",3915,0.0256
"3811Z",7802,0.0098
"3811Z",8002,0.0007
"3811Z",5505,0.0012
"3811Z",4012,0.0256
"3811Z",4004,0.0015
"3811Z",7902,0.0205
"3811Z",5003,0.0001
"3811Z",7602,0.0907
"3811Z",7503,0.0059
"3811Z",7404,0.1592
"3811Z",5202,0.0023
"3811Z",7001,0.0024
"3811Z",7112,0.0571
"3811Z",8101,0.0057
"3811Z",5103,0.0002
"3811Z",4115,0.0001
"3811Z",8102,0.0006
"3811Z",8103,0.0013
"3811Z",2618,0.0042
"3811Z",8104,0.0017
"3811Z",8105,0.0095
"3811Z",8107,0.0003
"3811Z",7204,0.3604
"3811Z",3825,0.0001
"3811Z",8108,0.0372
"3811Z",4707,0.0565
"3811Z",2620,0.047
"3832Z",8110,0.0038
"3832Z",8112,0.9962
"3821Z",2621,1
"3821Z",3825,0.0001
"3812Z",3006,0.0489
"3812Z",8548,0.0081
"3812Z",3825,0.0001
"3812Z",2710,0.88
"3812Z",2844,0.063
"5920Z",8523,0.9983
"5920Z",4904,0.0017
"5911B",3706,0.0005
"5911B",8523,0.9995
"5911C",3706,0.0005
"5911C",8523,0.9995
"5811Z",4903,0.0053
"5811Z",4905,0.0111
"5811Z",4901,0.9836
"5813Z",4902,1
"5814Z",4902,1
"5819Z",4908,0.0301
"5819Z",4911,0.8263
"5819Z",4907,0.1026
"5819Z",4909,0.0329
"5819Z",4910,0.0081
"5829A",8523,1
"5911A",8523,0.9995
"5911A",3706,0.0005
"7111Z",4906,1
"7420Z",3704,0.0421
"7420Z",3705,0.9579
"9003A",9703,0.1837
"9003A",9702,0.0197
"9003A",9701,0.7966
"9102Z",9704,0.0087
"9102Z",9706,0.6526
"9102Z",9705,0.3387
"9602A",501,1
