"NAF","HS4","weight"
"2611Z",8534,0.0298
"2611Z",8540,0.024
"2611Z",8542,0.813
"2611Z",8541,0.1284
"2611Z",8522,0.0048
"2612Z",8523,0.7859
"2612Z",8534,0.2141
"2720Z",8506,0.1268
"2720Z",8507,0.8732
"2731Z",8544,0.8838
"2731Z",9001,0.1162
"2790Z",8544,0.3433
"2790Z",8533,0.033
"2790Z",8531,0.0626
"2790Z",8530,0.013
"2790Z",8547,0.0225
"2790Z",8504,0.2093
"2790Z",8505,0.0378
"2790Z",8545,0.0676
"2790Z",8546,0.0069
"2790Z",8535,0.0441
"2790Z",8543,0.0767
"2790Z",8515,0.0411
"2790Z",8548,0.0132
"2790Z",8532,0.0289
"2732Z",8544,1
"2733Z",8536,0.9009
"2733Z",3925,0.067
"2733Z",8547,0.0321
"2740Z",9405,0.3344
"2740Z",8539,0.1357
"2740Z",8512,0.5113
"2740Z",8513,0.0186
"2751Z",8418,0.2134
"2751Z",6301,0.0043
"2751Z",8450,0.007
"2751Z",8451,0.0363
"2751Z",8422,0.1184
"2751Z",8508,0.0366
"2751Z",8509,0.0677
"2751Z",8510,0.0146
"2751Z",8516,0.2011
"2751Z",8414,0.3007
"2752Z",7418,0.0119
"2752Z",7322,0.0209
"2752Z",8419,0.8911
"2752Z",7321,0.076
"2711Z",8502,0.1138
"2711Z",8504,0.3875
"2711Z",8501,0.3884
"2711Z",8503,0.1103
"2712Z",8537,0.2305
"2712Z",8536,0.5527
"2712Z",8538,0.1782
"2712Z",8535,0.0385
"2825Z",8415,0.0757
"2825Z",8421,0.301
"2825Z",8419,0.1632
"2825Z",8418,0.191
"2825Z",8414,0.2691
"2811Z",8409,0.0894
"2811Z",8411,0.6665
"2811Z",8502,0.0189
"2811Z",8410,0.0026
"2811Z",8407,0.0879
"2811Z",8408,0.1294
"2811Z",8406,0.0053
"2812Z",8413,0.4206
"2812Z",8481,0.4434
"2812Z",8412,0.136
"2813Z",8413,0.533
"2813Z",8414,0.467
"2814Z",8481,1
"2815Z",8483,0.4804
"2815Z",8482,0.4825
"2815Z",7315,0.0371
"2821Z",8417,0.293
"2821Z",8416,0.2139
"2821Z",8514,0.4931
"2822Z",8709,0.0251
"2822Z",8431,0.3816
"2822Z",8427,0.2456
"2822Z",8428,0.2122
"2822Z",8425,0.0727
"2822Z",8426,0.0627
"2823Z",8470,0.0202
"2823Z",8443,0.279
"2823Z",8473,0.6817
"2823Z",8472,0.0191
"2824Z",8467,1
"2829A",8422,0.4661
"2829A",8420,0.0074
"2829A",8423,0.0412
"2829A",9015,0.195
"2829A",9017,0.0233
"2829A",8424,0.253
"2829A",8476,0.014
"2829B",8424,0.0859
"2829B",8468,0.0027
"2829B",8405,0.0031
"2829B",8476,0.0048
"2829B",8422,0.1582
"2829B",8423,0.014
"2829B",8421,0.4496
"2829B",8420,0.0025
"2829B",8419,0.2438
"2829B",8484,0.0354
"2829B",8487,0.0001
"2830Z",8701,0.5626
"2830Z",8434,0.0121
"2830Z",8433,0.1607
"2830Z",8716,0.0963
"2830Z",8424,0.0686
"2830Z",8436,0.0247
"2830Z",8432,0.075
"2841Z",8459,0.0495
"2841Z",8458,0.0705
"2841Z",8457,0.0568
"2841Z",8456,0.0972
"2841Z",8466,0.4137
"2841Z",8462,0.2101
"2841Z",8461,0.0205
"2841Z",8460,0.0501
"2841Z",8463,0.0315
"2849Z",8465,0.0255
"2849Z",8464,0.0132
"2849Z",8466,0.149
"2849Z",8462,0.0757
"2849Z",8459,0.0178
"2849Z",8479,0.5437
"2849Z",8543,0.175
"2891Z",8454,0.2966
"2891Z",8455,0.7034
"2892Z",8429,0.0857
"2892Z",8479,0.0894
"2892Z",8430,0.0144
"2892Z",8701,0.1992
"2892Z",8431,0.105
"2892Z",8428,0.0584
"2892Z",8474,0.0208
"2892Z",8704,0.427
"2893Z",8438,0.0876
"2893Z",8479,0.273
"2893Z",8478,0.004
"2893Z",8437,0.0042
"2893Z",8435,0.0056
"2893Z",8434,0.0131
"2893Z",8421,0.388
"2893Z",8419,0.2104
"2893Z",8417,0.0141
"2895Z",8441,0.831
"2895Z",8439,0.169
"2896Z",8477,1
"2894Z",8445,0.0236
"2894Z",8447,0.0037
"2894Z",8448,0.0998
"2894Z",8450,0.012
"2894Z",8451,0.062
"2894Z",8452,0.0055
"2894Z",8453,0.004
"2894Z",8449,0.0237
"2894Z",8443,0.1887
"2894Z",8421,0.5752
"2894Z",8444,0.001
"2894Z",8446,0.0008
"2899A",8440,0.0132
"2899A",8442,0.0404
"2899A",8443,0.9464
"2910Z",8407,0.0485
"2910Z",8408,0.0713
"2910Z",8706,0.0013
"2910Z",8701,0.09
"2910Z",8702,0.0116
"2910Z",8703,0.5743
"2910Z",8704,0.1929
"2910Z",8705,0.0101
"2920Z",8609,0.1192
"2920Z",8716,0.5593
"2920Z",8707,0.3215
"2931Z",8544,0.5005
"2931Z",8512,0.2629
"2931Z",8511,0.2366
"2932Z",8708,0.9197
"2932Z",9401,0.0803
"3011Z",8905,0.0078
"3011Z",8901,0.9347
"3011Z",8906,0.0345
"3011Z",8907,0.0201
