"activitycode_1","activitycode_2","proximity"
"0000Z","6430Z",0.4995
"0000Z","6499Z",0.9995
"0000Z","6612Z",0.9995
"0000Z","6619A",0.9995
"0000Z","6619B",0.9995
"0000Z","6621Z",0.9995
"0000Z","6622Z",0.2495
"0000Z","6630Z",0.2495
"0000Z","6810Z",0.2495
"0000Z","6820A",0.0995
"0000Z","6820B",0.0521315789
"0000Z","6831Z",0.0661666667
"0000Z","6832A",0.9995
"0000Z","6910Z",0.9995
"0000Z","6920Z",0.1423571429
"0000Z","7010Z",0.1245
"0000Z","7021Z",0.9995
"0000Z","7022Z",0.1995
"0000Z","7111Z",0.3328333333
"0000Z","7112B",0.1106111111
"0000Z","7120A",0.0904090909
"0000Z","7120B",0.9995
"0000Z","7220Z",0.9995
"0000Z","7311Z",0.4995
"0000Z","7711A",0.9995
"0000Z","7721Z",0.3328333333
"0000Z","7729Z",0.9995
"0000Z","7820Z",0.0199081633
"0000Z","7912Z",0.9995
"0000Z","8010Z",0.9995
"0000Z","8121Z",0.4995
"0000Z","8122Z",0.2495
"0000Z","8129A",0.9995
"0000Z","8130Z",0.1423571429
"0000Z","8211Z",0.3328333333
"0000Z","8219Z",0.9995
"0000Z","8230Z",0.4995
"0000Z","8291Z",0.9995
"0000Z","8299Z",0.9995
"0000Z","8542Z",0.9995
"0000Z","8551Z",0.2495
"0000Z","8553Z",0.0764230769
"0000Z","8559A",0.3328333333
"0000Z","8559B",0.4995
"0000Z","8610Z",0.3328333333
"0000Z","8622A",0.9995
"0000Z","8622C",0.9995
"0000Z","8690A",0.1661666667
"0000Z","8710A",0.4995
"0000Z","8810A",0.9995
"0000Z","8891A",0.0471190476
"0000Z","9001Z",0.9995
"0000Z","9312Z",0.9995
"0000Z","9313Z",0.1245
"0000Z","9319Z",0.4995
"0000Z","9329Z",0.1995
"0000Z","9511Z",0.4995
"0000Z","9512Z",0.4995
"0000Z","9523Z",0.3328333333
"0000Z","9601A",0.9995
"0000Z","9601B",0.1661666667
"0000Z","9602A",0.0245
"0000Z","9602B",0.0521315789
"0000Z","9603Z",0.4995
"0000Z","9604Z",0.9995
"0000Z","9609Z",0.3328333333
"000Z","4791B",0.9995
"000Z","5829C",0.9995
"000Z","8121Z",0.9995
"000Z","9609Z",0.9995
"0111Z","0113Z",0.9995
"0111Z","0121Z",0.9995
"0111Z","0150Z",0.4995
"0111Z","0161Z",0.3328333333
"0111Z","4312A",0.9995
"0111Z","4621Z",0.9995
"0111Z","4690Z",0.9995
"0111Z","5520Z",0.9995
"0111Z","6820B",0.9995
"0111Z","8230Z",0.9995
"0111Z","9321Z",0.9995
"0113Z","0111Z",0.9995
"0113Z","0113Z",0.9995
"0113Z","0126Z",0.9995
"0113Z","0146Z",0.9995
"0113Z","4631Z",0.9995
"0113Z","4721Z",0.4995
"0113Z","4791B",0.9995
"0113Z","6820B",0.9995
"0113Z","9609Z",0.9995
"0119Z","0113Z",0.9995
"0119Z","0119Z",0.4995
"0119Z","0130Z",0.9995
"0119Z","4621Z",0.9995
"0119Z","4622Z",0.9995
"0119Z","4759A",0.9995
"0119Z","6820B",0.9995
"0119Z","8130Z",0.4995
"011A","0111Z",0.9995
"0121Z","0111Z",0.9995
"0121Z","0121Z",0.9995
"0121Z","1102A",0.9995
"0121Z","1102B",0.3328333333
"0121Z","4617B",0.9995
"0121Z","4634Z",0.2495
"0121Z","4781Z",0.9995
"0121Z","5510Z",0.9995
"0121Z","5610A",0.9995
"0121Z","6630Z",0.9995
"0121Z","7010Z",0.9995
"0121Z","9329Z",0.9995
"0124Z","0121Z",0.4995
"0124Z","0124Z",0.3328333333
"0124Z","0130Z",0.9995
"0124Z","0161Z",0.9995
"0124Z","1039B",0.9995
"0124Z","4721Z",0.4995
"0124Z","5520Z",0.9995
"0124Z","6820B",0.9995
"0125Z","5520Z",0.9995
"0128Z","1039B",0.9995
"0130Z","0129Z",0.9995
"0130Z","0161Z",0.9995
"0130Z","4622Z",0.9995
"0130Z","6820B",0.9995
"0130Z","8130Z",0.3328333333
"0141Z","0141Z",0.9995
"0141Z","3511Z",0.9995
"0142Z","3511Z",0.9995
"0142Z","6420Z",0.9995
"0143Z","7490B",0.9995
"0143Z","8551Z",0.4995
"0143Z","9319Z",0.4995
"0145Z","5510Z",0.9995
"0145Z","9319Z",0.9995
"0146Z","3511Z",0.9995
"0147Z","0111Z",0.9995
"0147Z","0129Z",0.9995
"0147Z","0147Z",0.9995
"0147Z","0162Z",0.9995
"0147Z","3511Z",0.4995
"0147Z","4621Z",0.9995
"0147Z","7731Z",0.9995
"0147Z","9103Z",0.9995
"0149Z","0149Z",0.9995
"0149Z","0322Z",0.9995
"0149Z","1013A",0.9995
"0149Z","8292Z",0.9995
"0149Z","9319Z",0.9995
"0149Z","9609Z",0.9995
"014B","7810Z",0.9995
"0150Z","0111Z",0.9995
"0150Z","0121Z",0.9995
"0150Z","0143Z",0.9995
"0150Z","0161Z",0.9995
"0161Z","0111Z",0.4995
"0161Z","0113Z",0.9995
"0161Z","0119Z",0.9995
"0161Z","0121Z",0.1995
"0161Z","0124Z",0.9995
"0161Z","0129Z",0.9995
"0161Z","0150Z",0.9995
"0161Z","0161Z",0.1245
"0161Z","0163Z",0.9995
"0161Z","0220Z",0.9995
"0161Z","1013B",0.9995
"0161Z","1061B",0.9995
"0161Z","1102A",0.9995
"0161Z","3511Z",0.4995
"0161Z","3700Z",0.9995
"0161Z","3821Z",0.9995
"0161Z","4312A",0.0995
"0161Z","4312B",0.4995
"0161Z","4399C",0.9995
"0161Z","4634Z",0.3328333333
"0161Z","4711B",0.9995
"0161Z","4721Z",0.9995
"0161Z","4791A",0.9995
"0161Z","4941A",0.9995
"0161Z","5210B",0.9995
"0161Z","5229B",0.9995
"0161Z","5530Z",0.9995
"0161Z","6820B",0.1661666667
"0161Z","7490B",0.9995
"0161Z","7731Z",0.3328333333
"0161Z","8129A",0.9995
"0161Z","8130Z",0.3328333333
"0161Z","8230Z",0.9995
"0161Z","8292Z",0.9995
"0162Z","0149Z",0.9995
"0162Z","0162Z",0.1245
"0162Z","3109B",0.9995
"0162Z","4661Z",0.9995
"0162Z","4719B",0.9995
"0162Z","5520Z",0.9995
"0162Z","6820B",0.9995
"0162Z","8551Z",0.4995
"0162Z","9319Z",0.3328333333
"0162Z","9609Z",0.4995
"0164Z","4673A",0.9995
"0170Z","9329Z",0.9995
"0210Z","0125Z",0.9995
"0210Z","0220Z",0.9995
"0210Z","0240Z",0.9995
"0220Z","0210Z",0.9995
"0220Z","0220Z",0.3328333333
"0220Z","0240Z",0.0995
"0220Z","1610A",0.1423571429
"0220Z","1610B",0.9995
"0220Z","2370Z",0.9995
"0220Z","4312B",0.9995
"0220Z","4619B",0.9995
"0220Z","4671Z",0.9995
"0220Z","4673A",0.1995
"0220Z","4941A",0.9995
"0220Z","7112B",0.9995
"0220Z","8130Z",0.9995
"0240Z","0210Z",0.9995
"0240Z","0220Z",0.0995
"0240Z","1610A",0.9995
"0240Z","3832Z",0.9995
"0240Z","4312A",0.9995
"0240Z","4399C",0.9995
"0240Z","4613Z",0.9995
"0240Z","4662Z",0.9995
"0240Z","4941B",0.9995
"0240Z","8130Z",0.9995
"0240Z","9329Z",0.9995
"0311Z","0312Z",0.9995
"0311Z","0321Z",0.9995
"0311Z","5010Z",0.9995
"0321Z","0321Z",0.9995
"0321Z","4638A",0.9995
"0321Z","4759B",0.9995
"0322Z","6820B",0.4995
"0610Z","0620Z",0.9995
"0610Z","7490B",0.9995
"0620Z","3521Z",0.9995
"0811Z","0161Z",0.9995
"0811Z","0812Z",0.2495
"0811Z","4312A",0.9995
"0811Z","4645Z",0.9995
"0811Z","6420Z",0.9995
"0811Z","6820B",0.9995
"0812Z","0811Z",0.1661666667
"0812Z","0812Z",0.2495
"0812Z","2363Z",0.9995
"0812Z","3821Z",0.3328333333
"0812Z","4312A",0.4995
"0891Z","0812Z",0.9995
"0891Z","2363Z",0.9995
"0891Z","3821Z",0.4995
"0892Z","2015Z",0.9995
"0899Z","0899Z",0.9995
"0899Z","3832Z",0.9995
"0910Z","0910Z",0.9995
"0910Z","3812Z",0.9995
"0990Z","3832Z",0.9995
"1011Z","0113Z",0.9995
"1011Z","0146Z",0.9995
"1011Z","1011Z",0.3328333333
"1011Z","1013A",0.2495
"1011Z","3511Z",0.9995
"1011Z","4312A",0.9995
"1011Z","4623Z",0.9995
"1011Z","4632A",0.1423571429
"1011Z","4632B",0.9995
"1011Z","4722Z",0.1661666667
"1012Z","0147Z",0.9995
"1012Z","1011Z",0.9995
"1012Z","1013A",0.9995
"1012Z","4623Z",0.9995
"1012Z","5610C",0.9995
"1013A","1012Z",0.9995
"1013A","1013B",0.1661666667
"1013A","1085Z",0.9995
"1013A","4639B",0.9995
"1013A","4711B",0.9995
"1013A","4722Z",0.3328333333
"1013A","4759B",0.9995
"1013A","6420Z",0.9995
"1013A","6832A",0.9995
"1013B","0141Z",0.9995
"1013B","1013A",0.3328333333
"1013B","1013B",0.3328333333
"1013B","1020Z",0.9995
"1013B","1061B",0.9995
"1013B","1085Z",0.9995
"1013B","3511Z",0.9995
"1013B","4722Z",0.2495
"1013B","4729Z",0.9995
"1013B","4781Z",0.2495
"1013B","4932Z",0.9995
"1013B","5610A",0.3328333333
"1013B","5610C",0.2495
"1013B","5621Z",0.0550555556
"1013B","6619A",0.9995
"1013B","6630Z",0.4995
"1013B","6820A",0.9995
"1013B","6820B",0.4995
"1013B","7721Z",0.9995
"1020Z","4638A",0.9995
"1020Z","4791B",0.9995
"1020Z","5610A",0.4995
"1020Z","5621Z",0.9995
"1031Z","4511Z",0.9995
"1031Z","4631Z",0.9995
"1031Z","5610C",0.9995
"1032Z","1032Z",0.4995
"1032Z","4631Z",0.9995
"1032Z","8559A",0.9995
"1039A","0113Z",0.9995
"1039A","0161Z",0.9995
"1039A","1020Z",0.9995
"1039A","1031Z",0.9995
"1039A","1039B",0.9995
"1039A","4781Z",0.9995
