"activitycode_1","activitycode_2","proximity"
"4120A","4321A",0.2495
"4120A","4322A",0.2495
"4120A","4322B",0.2495
"4120A","4329A",0.1995
"4120A","4331Z",0.0904090909
"4120A","4332A",0.1245
"4120A","4333Z",0.1245
"4120A","4334Z",0.1245
"4120A","4339Z",0.1995
"4120A","4391A",0.2495
"4120A","4391B",0.4995
"4120A","4399A",0.4995
"4120A","4399B",0.9995
"4120A","4399C",0.012
"4120A","4399D",0.9995
"4120A","4399E",0.9995
"4120A","4520A",0.9995
"4120A","4613Z",0.9995
"4120A","4673A",0.4995
"4120A","4941A",0.9995
"4120A","5610C",0.4995
"4120A","6420Z",0.2495
"4120A","6810Z",0.4995
"4120A","6820B",0.2495
"4120A","7010Z",0.9995
"4120A","7111Z",0.4995
"4120A","7112B",0.1995
"4120A","7490A",0.1661666667
"4120A","7739Z",0.9995
"4120A","8121Z",0.9995
"4120A","8299Z",0.3328333333
"4120A","8690F",0.9995
"4120A","9311Z",0.9995
"4120B","2361Z",0.9995
"4120B","3511Z",0.9995
"4120B","3821Z",0.9995
"4120B","4110A",0.9995
"4120B","4120A",0.0449545455
"4120B","4120B",0.0904090909
"4120B","4299Z",0.4995
"4120B","4311Z",0.9995
"4120B","4312A",0.9995
"4120B","4321A",0.3328333333
"4120B","4322A",0.3328333333
"4120B","4322B",0.3328333333
"4120B","4329A",0.4995
"4120B","4331Z",0.9995
"4120B","4332A",0.4995
"4120B","4333Z",0.1995
"4120B","4334Z",0.2495
"4120B","4399A",0.9995
"4120B","4399C",0.0429782609
"4120B","4399D",0.3328333333
"4120B","4511Z",0.9995
"4120B","4520A",0.9995
"4120B","4673A",0.9995
"4120B","4941A",0.9995
"4120B","5510Z",0.9995
"4120B","5610A",0.9995
"4120B","6420Z",0.9995
"4120B","6810Z",0.4995
"4120B","6820A",0.3328333333
"4120B","6820B",0.3328333333
"4120B","6831Z",0.9995
"4120B","6832A",0.9995
"4120B","7010Z",0.3328333333
"4120B","7111Z",0.9995
"4120B","7112B",0.1423571429
"4120B","7410Z",0.9995
"4120B","7732Z",0.9995
"4120B","7739Z",0.9995
"4120B","8110Z",0.9995
"4120B","8130Z",0.9995
"4120B","9001Z",0.9995
"4211Z","0812Z",0.4995
"4211Z","3700Z",0.9995
"4211Z","4211Z",0.4995
"4211Z","4221Z",0.9995
"4211Z","4312A",0.2495
"4211Z","4312B",0.9995
"4211Z","4333Z",0.9995
"4211Z","4399C",0.9995
"4211Z","4399E",0.9995
"4211Z","4520A",0.9995
"4211Z","4669B",0.9995
"4211Z","4711B",0.9995
"4211Z","4942Z",0.9995
"4211Z","6820B",0.9995
"4212Z","4321A",0.9995
"4213A","4211Z",0.9995
"4213A","4213A",0.9995
"4213A","4213B",0.9995
"4213A","4299Z",0.4995
"4221Z","3700Z",0.4995
"4221Z","4211Z",0.2495
"4221Z","4221Z",0.2495
"4221Z","4222Z",0.9995
"4221Z","4291Z",0.9995
"4221Z","4299Z",0.3328333333
"4221Z","4312A",0.1245
"4221Z","4312B",0.9995
"4221Z","4399D",0.9995
"4221Z","4941B",0.9995
"4221Z","5221Z",0.9995
"4221Z","6820B",0.9995
"4221Z","7112B",0.9995
"4221Z","8299Z",0.9995
"4222Z","4120A",0.9995
"4222Z","4221Z",0.9995
"4222Z","4222Z",0.4995
"4222Z","4321A",0.1661666667
"4222Z","4321B",0.9995
"4222Z","5223Z",0.9995
"4222Z","6201Z",0.9995
"4222Z","6630Z",0.9995
"4222Z","7021Z",0.9995
"4222Z","7112B",0.4995
"4222Z","8130Z",0.9995
"4291Z","4399B",0.9995
"4299Z","3312Z",0.9995
"4299Z","3511Z",0.9995
"4299Z","4110A",0.1995
"4299Z","4110C",0.2495
"4299Z","4110D",0.9995
"4299Z","4120A",0.9995
"4299Z","4211Z",0.3328333333
"4299Z","4221Z",0.9995
"4299Z","4299Z",0.1995
"4299Z","4312A",0.3328333333
"4299Z","4329B",0.9995
"4299Z","4399A",0.9995
"4299Z","5221Z",0.9995
"4299Z","6810Z",0.0995
"4299Z","6820A",0.9995
"4299Z","6820B",0.1661666667
"4299Z","6831Z",0.4995
"4299Z","6832A",0.9995
"4299Z","7112B",0.2495
"4299Z","7490A",0.9995
"4299Z","8130Z",0.4995
"4311Z","2550B",0.4995
"4311Z","3832Z",0.9995
"4311Z","3900Z",0.9995
"4311Z","4120A",0.3328333333
"4311Z","4312A",0.2495
"4311Z","4312B",0.9995
"4311Z","4391B",0.9995
"4311Z","4399D",0.9995
"4311Z","4729Z",0.9995
"4311Z","4941A",0.9995
"4312A","0111Z",0.9995
"4312A","0161Z",0.1995
"4312A","0240Z",0.3328333333
"4312A","0811Z",0.9995
"4312A","0812Z",0.9995
"4312A","1105Z",0.9995
"4312A","1623Z",0.9995
"4312A","2363Z",0.9995
"4312A","2562B",0.9995
"4312A","3511Z",0.9995
"4312A","3700Z",0.3328333333
"4312A","3821Z",0.9995
"4312A","3832Z",0.4995
"4312A","3900Z",0.4995
"4312A","4120A",0.9995
"4312A","4120B",0.4995
"4312A","4211Z",0.1106111111
"4312A","4213A",0.9995
"4312A","4221Z",0.062
"4312A","4222Z",0.4995
"4312A","4311Z",0.2495
"4312A","4312A",0.062
"4312A","4312B",0.0429782609
"4312A","4321A",0.9995
"4312A","4332A",0.9995
"4312A","4333Z",0.9995
"4312A","4399C",0.0449545455
"4312A","4399D",0.9995
"4312A","4399E",0.1245
"4312A","4520A",0.9995
"4312A","4639B",0.9995
"4312A","4663Z",0.9995
"4312A","4669B",0.9995
"4312A","4673A",0.4995
"4312A","4730Z",0.9995
"4312A","4759A",0.9995
"4312A","4778B",0.4995
"4312A","4941A",0.1245
"4312A","4941B",0.1423571429
"4312A","4941C",0.1995
"4312A","5224B",0.9995
"4312A","5530Z",0.9995
"4312A","6630Z",0.9995
"4312A","6820B",0.3328333333
"4312A","6831Z",0.9995
"4312A","7010Z",0.9995
"4312A","7311Z",0.9995
"4312A","7490A",0.9995
"4312A","7732Z",0.1661666667
"4312A","8121Z",0.9995
"4312A","8130Z",0.1106111111
"4312A","8299Z",0.9995
"4312A","9603Z",0.4995
"4312B","0161Z",0.9995
"4312B","0812Z",0.9995
"4312B","4110A",0.9995
"4312B","4211Z",0.4995
"4312B","4221Z",0.4995
"4312B","4291Z",0.9995
"4312B","4299Z",0.9995
"4312B","4312A",0.0709285714
"4312B","4312B",0.1661666667
"4312B","4399C",0.9995
"4312B","4399E",0.4995
"4312B","4520A",0.9995
"4312B","4673A",0.9995
"4312B","7732Z",0.9995
"4312B","8130Z",0.9995
"4313Z","0610Z",0.9995
"4313Z","4221Z",0.4995
"4313Z","4311Z",0.9995
"4313Z","4673B",0.9995
"4313Z","6820B",0.9995
"4321A","1392Z",0.9995
"4321A","1629Z",0.9995
"4321A","2229A",0.9995
"4321A","2593Z",0.9995
"4321A","2712Z",0.2495
"4321A","2740Z",0.9995
"4321A","2790Z",0.3328333333
"4321A","2899B",0.9995
"4321A","3299Z",0.9995
"4321A","3313Z",0.9995
"4321A","3314Z",0.3328333333
"4321A","3320A",0.4995
"4321A","3320B",0.4995
"4321A","3320D",0.1423571429
"4321A","3511Z",0.4995
"4321A","3514Z",0.9995
"4321A","4120A",0.0995
"4321A","4120B",0.4995
"4321A","4222Z",0.1106111111
"4321A","4311Z",0.9995
"4321A","4312A",0.9995
"4321A","4321A",0.0352142857
"4321A","4321B",0.1661666667
"4321A","4322A",0.0904090909
"4321A","4322B",0.0379615385
"4321A","4329A",0.9995
"4321A","4329B",0.3328333333
"4321A","4331Z",0.9995
"4321A","4332A",0.1245
"4321A","4332B",0.4995
"4321A","4332C",0.9995
"4321A","4333Z",0.9995
"4321A","4334Z",0.4995
"4321A","4339Z",0.9995
"4321A","4391A",0.9995
"4321A","4391B",0.4995
"4321A","4399C",0.1245
"4321A","4399D",0.9995
"4321A","4511Z",0.4995
"4321A","4520A",0.3328333333
"4321A","4647Z",0.4995
"4321A","4652Z",0.9995
"4321A","4669A",0.9995
"4321A","4669B",0.4995
"4321A","4690Z",0.9995
"4321A","4721Z",0.9995
"4321A","4743Z",0.9995
"4321A","4754Z",0.4995
"4321A","4778C",0.9995
"4321A","4791B",0.9995
"4321A","5510Z",0.9995
"4321A","5610A",0.9995
"4321A","5610C",0.9995
"4321A","6110Z",0.1661666667
"4321A","6120Z",0.9995
"4321A","6190Z",0.1106111111
"4321A","6202A",0.3328333333
"4321A","6203Z",0.9995
"4321A","6209Z",0.4995
"4321A","6312Z",0.9995
"4321A","6420Z",0.4995
"4321A","6630Z",0.9995
"4321A","6810Z",0.9995
"4321A","6820A",0.9995
"4321A","6820B",0.1995
"4321A","6831Z",0.9995
"4321A","7010Z",0.9995
"4321A","7022Z",0.4995
"4321A","7112B",0.0995
"4321A","7120B",0.4995
"4321A","7490A",0.9995
"4321A","7490B",0.4995
"4321A","7729Z",0.4995
"4321A","8010Z",0.3328333333
"4321A","8020Z",0.062
"4321A","8121Z",0.4995
"4321A","8122Z",0.9995
"4321A","8230Z",0.9995
"4321A","9001Z",0.4995
"4321A","9002Z",0.9995
"4321A","9521Z",0.4995
"4321B","4222Z",0.9995
"4321B","4312B",0.9995
"4321B","4321A",0.3328333333
"4321B","4321B",0.9995
"4322A","2511Z",0.9995
"4322A","3250A",0.9995
"4322A","3312Z",0.4995
"4322A","3314Z",0.9995
"4322A","3320A",0.9995
"4322A","3320B",0.4995
"4322A","3600Z",0.9995
"4322A","3700Z",0.4995
"4322A","4120A",0.3328333333
"4322A","4120B",0.4995
"4322A","4221Z",0.9995
"4322A","4321A",0.1661666667
"4322A","4322A",0.0995
"4322A","4322B",0.0180185185
"4322A","4331Z",0.9995
"4322A","4332A",0.3328333333
"4322A","4332B",0.4995
"4322A","4333Z",0.4995
"4322A","4334Z",0.1995
"4322A","4339Z",0.9995
"4322A","4391B",0.1423571429
"4322A","4399A",0.9995
"4322A","4399C",0.1661666667
"4322A","4399D",0.9995
"4322A","4511Z",0.9995
"4322A","4673B",0.9995
"4322A","4752A",0.4995
"4322A","4771Z",0.9995
"4322A","4791B",0.9995
"4322A","4799A",0.9995
"4322A","5510Z",0.9995
"4322A","5911B",0.9995
"4322A","6420Z",0.9995
"4322A","6630Z",0.4995
"4322A","6810Z",0.4995
"4322A","6820B",0.9995
"4322A","7010Z",0.4995
"4322A","7112B",0.1423571429
"4322A","7120B",0.9995
"4322A","8122Z",0.9995
"4322A","8211Z",0.4995
"4322A","8219Z",0.9995
"4322B","2550B",0.9995
"4322B","2752Z",0.9995
"4322B","2825Z",0.9995
"4322B","3012Z",0.9995
"4322B","3312Z",0.1423571429
"4322B","3319Z",0.9995
"4322B","3320B",0.1106111111
"4322B","3320C",0.9995
"4322B","3320D",0.9995
"4322B","3511Z",0.9995
"4322B","3530Z",0.2495
"4322B","4120A",0.9995
"4322B","4312A",0.9995
"4322B","4321A",0.0550555556
"4322B","4322A",0.0395
"4322B","4322B",0.0661666667
"4322B","4329A",0.2495
"4322B","4329B",0.9995
"4322B","4331Z",0.3328333333
"4322B","4332A",0.3328333333
"4322B","4332B",0.4995
"4322B","4333Z",0.9995
"4322B","4339Z",0.9995
"4322B","4391B",0.3328333333
"4322B","4399A",0.9995
"4322B","4399B",0.9995
"4322B","4399C",0.4995
"4322B","4399D",0.4995
"4322B","4520A",0.4995
"4322B","4520B",0.9995
"4322B","4532Z",0.9995
"4322B","4619B",0.9995
"4322B","4643Z",0.9995
"4322B","4646Z",0.9995
"4322B","4661Z",0.9995
"4322B","4669B",0.9995
"4322B","4669C",0.4995
"4322B","4674B",0.1245
"4322B","4752A",0.9995
"4322B","4778B",0.9995
"4322B","6202A",0.9995
"4322B","6420Z",0.9995
"4322B","6630Z",0.4995
"4322B","6810Z",0.9995
"4322B","6820B",0.3328333333
"4322B","6831Z",0.9995
"4322B","7010Z",0.9995
"4322B","7022Z",0.9995
"4322B","7112B",0.1995
"4322B","7711A",0.9995
"4322B","7911Z",0.9995
"4322B","8122Z",0.4995
"4322B","8299Z",0.9995
"4322B","8559A",0.9995
"4322B","9601B",0.9995
"4329A","1610B",0.9995
"4329A","2550B",0.9995
"4329A","2825Z",0.9995
"4329A","3900Z",0.9995
"4329A","4120A",0.3328333333
"4329A","4120B",0.9995
"4329A","4321A",0.4995
"4329A","4322B",0.4995
"4329A","4329A",0.1423571429
"4329A","4331Z",0.1661666667
"4329A","4332A",0.3328333333
"4329A","4332B",0.9995
"4329A","4333Z",0.4995
"4329A","4334Z",0.9995
"4329A","4391B",0.9995
"4329A","4399A",0.9995
"4329A","4399B",0.9995
"4329A","4399C",0.4995
"4329A","4619B",0.9995
"4329A","4673A",0.9995
"4329A","6630Z",0.9995
"4329A","6810Z",0.9995
"4329A","6820B",0.9995
"4329A","7010Z",0.9995
"4329B","1813Z",0.4995
"4329B","2599B",0.9995
"4329B","3312Z",0.9995
"4329B","3320B",0.9995
"4329B","3511Z",0.9995
"4329B","4120A",0.9995
"4329B","4321A",0.4995
"4329B","4322A",0.4995
"4329B","4322B",0.4995
"4329B","4329B",0.1995
"4329B","4331Z",0.9995
"4329B","4332A",0.3328333333
"4329B","4332B",0.2495
"4329B","4399D",0.9995
"4329B","4669C",0.9995
"4329B","4673A",0.9995
"4329B","4690Z",0.9995
"4329B","4719B",0.9995
"4329B","6820B",0.4995
"4329B","7010Z",0.9995
"4329B","7112B",0.9995
"4329B","7410Z",0.9995
"4329B","8020Z",0.9995
"4331Z","2910Z",0.9995
"4331Z","3315Z",0.9995
"4331Z","3511Z",0.9995
"4331Z","4110A",0.9995
"4331Z","4120A",0.2495
"4331Z","4120B",0.3328333333
"4331Z","4321A",0.9995
"4331Z","4322B",0.9995
"4331Z","4329A",0.1661666667
"4331Z","4331Z",0.2495
"4331Z","4332A",0.1245
"4331Z","4332B",0.4995
"4331Z","4332C",0.4995
"4331Z","4333Z",0.3328333333
"4331Z","4334Z",0.0661666667
"4331Z","4391B",0.9995
"4331Z","4399C",0.0904090909
"4331Z","4399D",0.9995
"4331Z","4661Z",0.9995
"4331Z","4673A",0.4995
"4331Z","4752A",0.9995
"4331Z","5210B",0.9995
"4331Z","5520Z",0.4995
"4331Z","5610C",0.9995
"4331Z","6820B",0.9995
"4331Z","7010Z",0.9995
"4331Z","7721Z",0.9995
"4331Z","8121Z",0.9995
"4331Z","8299Z",0.9995
"4332A","1392Z",0.9995
"4332A","1623Z",0.0995
"4332A","2512Z",0.3328333333
"4332A","3012Z",0.9995
"4332A","3101Z",0.4995
"4332A","3102Z",0.2495
"4332A","3109B",0.1661666667
"4332A","3314Z",0.9995
"4332A","3511Z",0.9995
"4332A","4120A",0.3328333333
"4332A","4120B",0.9995
"4332A","4312A",0.9995
"4332A","4321A",0.1661666667
"4332A","4322A",0.4995
"4332A","4322B",0.4995
"4332A","4329B",0.3328333333
"4332A","4331Z",0.1245
"4332A","4332A",0.0395
"4332A","4332B",0.0449545455
"4332A","4332C",0.4995
"4332A","4334Z",0.1661666667
"4332A","4339Z",0.4995
"4332A","4391A",0.0521315789
"4332A","4391B",0.9995
"4332A","4399B",0.9995
"4332A","4399C",0.1423571429
"4332A","4399D",0.9995
"4332A","4511Z",0.4995
"4332A","4613Z",0.9995
"4332A","4619B",0.3328333333
"4332A","4673A",0.1423571429
"4332A","4752A",0.2495
"4332A","4752B",0.9995
"4332A","4759A",0.0828333333
"4332A","4778C",0.9995
"4332A","4932Z",0.9995
"4332A","5520Z",0.9995
"4332A","5610C",0.4995
"4332A","6420Z",0.9995
"4332A","6430Z",0.9995
"4332A","6630Z",0.9995
"4332A","6810Z",0.2495
"4332A","6820B",0.1245
"4332A","7010Z",0.4995
"4332A","7022Z",0.9995
"4332A","7111Z",0.9995
"4332A","7112B",0.9995
"4332A","7120B",0.9995
"4332A","7410Z",0.4995
"4332A","7490B",0.9995
"4332A","7711A",0.9995
"4332A","7729Z",0.9995
"4332A","8130Z",0.4995
"4332A","8219Z",0.9995
"4332A","8299Z",0.4995
"4332A","8559A",0.9995
"4332A","9524Z",0.9995
"4332A","9603Z",0.1995
"4332B","1623Z",0.9995
"4332B","2312Z",0.9995
"4332B","2511Z",0.1995
"4332B","2512Z",0.4995
"4332B","2550A",0.4995
"4332B","2550B",0.9995
"4332B","2562A",0.9995
"4332B","2562B",0.4995
"4332B","2572Z",0.9995
"4332B","3311Z",0.9995
"4332B","3320A",0.3328333333
"4332B","4120A",0.9995
"4332B","4120B",0.9995
"4332B","4322B",0.4995
"4332B","4329A",0.9995
"4332B","4329B",0.2495
"4332B","4331Z",0.4995
"4332B","4332A",0.0709285714
"4332B","4332B",0.0828333333
"4332B","4333Z",0.3328333333
"4332B","4334Z",0.9995
"4332B","4339Z",0.9995
"4332B","4399B",0.9995
"4332B","4399D",0.4995
"4332B","4669B",0.9995
"4332B","4673A",0.9995
"4332B","4752A",0.3328333333
"4332B","4778B",0.9995
"4332B","6420Z",0.4995
"4332B","6630Z",0.9995
"4332B","6810Z",0.4995
"4332B","6820B",0.1995
"4332B","7010Z",0.4995
"4332B","7022Z",0.9995
"4332B","7311Z",0.9995
"4332B","7490A",0.4995
"4332B","8121Z",0.9995
"4332B","8551Z",0.9995
"4332C","4312A",0.9995
"4332C","4322A",0.9995
"4332C","4329B",0.9995
"4332C","4331Z",0.9995
"4332C","4332A",0.1245
"4332C","4332B",0.9995
"4332C","4332C",0.3328333333
"4332C","4333Z",0.9995
"4332C","4334Z",0.9995
"4332C","4399B",0.9995
"4332C","4690Z",0.9995
"4332C","4759A",0.9995
"4332C","4941B",0.9995
"4332C","5610C",0.9995
"4332C","6820B",0.9995
"4332C","6920Z",0.9995
"4332C","7311Z",0.9995
"4332C","7490A",0.9995
"4332C","7733Z",0.9995
"4332C","8230Z",0.1995
"4333Z","1392Z",0.9995
"4333Z","1622Z",0.9995
"4333Z","1623Z",0.9995
"4333Z","3109B",0.4995
"4333Z","4120A",0.2495
"4333Z","4120B",0.1995
"4333Z","4299Z",0.9995
"4333Z","4322A",0.9995
"4333Z","4322B",0.9995
"4333Z","4329A",0.9995
"4333Z","4329B",0.9995
"4333Z","4331Z",0.1995
"4333Z","4332A",0.9995
"4333Z","4333Z",0.1995
"4333Z","4334Z",0.1106111111
"4333Z","4339Z",0.4995
"4333Z","4399A",0.9995
"4333Z","4399C",0.0764230769
"4333Z","4399D",0.9995
"4333Z","4613Z",0.9995
"4333Z","4673A",0.9995
"4333Z","4673B",0.9995
"4333Z","6810Z",0.9995
"4333Z","6820B",0.9995
"4333Z","7112B",0.9995
"4333Z","8121Z",0.4995
"4333Z","8122Z",0.9995
"4333Z","8211Z",0.9995
"4333Z","9002Z",0.9995
"4334Z","1812Z",0.9995
"4334Z","2512Z",0.9995
"4334Z","2561Z",0.9995
"4334Z","3109B",0.9995
"4334Z","3315Z",0.9995
"4334Z","4120A",0.1661666667
"4334Z","4120B",0.3328333333
"4334Z","4299Z",0.9995
"4334Z","4321A",0.4995
"4334Z","4322A",0.9995
"4334Z","4322B",0.4995
"4334Z","4329A",0.1423571429
"4334Z","4331Z",0.062
"4334Z","4332A",0.1995
"4334Z","4332B",0.2495
"4334Z","4333Z",0.1661666667
"4334Z","4334Z",0.1245
"4334Z","4339Z",0.3328333333
"4334Z","4391A",0.9995
"4334Z","4391B",0.4995
"4334Z","4399A",0.4995
"4334Z","4399B",0.9995
"4334Z","4399C",0.0583235294
"4334Z","4399D",0.3328333333
"4334Z","4511Z",0.9995
"4334Z","4520A",0.3328333333
"4334Z","4669C",0.9995
"4334Z","4673A",0.4995
"4334Z","4690Z",0.4995
"4334Z","4711B",0.9995
"4334Z","4752A",0.9995
"4334Z","4771Z",0.9995
"4334Z","4941A",0.9995
"4334Z","5610A",0.9995
"4334Z","6420Z",0.2495
"4334Z","6820A",0.9995
"4334Z","6832A",0.9995
"4334Z","7010Z",0.9995
"4334Z","7410Z",0.4995
"4334Z","8121Z",0.9995
"4334Z","8130Z",0.9995
"4334Z","8211Z",0.9995
"4334Z","8230Z",0.4995
"4334Z","8551Z",0.9995
"4334Z","9003A",0.4995
"4334Z","9511Z",0.9995
"4334Z","9524Z",0.9995
"4339Z","2550A",0.9995
"4339Z","2825Z",0.9995
"4339Z","4120A",0.4995
"4339Z","4120B",0.9995
"4339Z","4321A",0.9995
"4339Z","4322A",0.9995
"4339Z","4331Z",0.3328333333
"4339Z","4332A",0.1995
"4339Z","4332B",0.9995
"4339Z","4332C",0.9995
"4339Z","4333Z",0.3328333333
"4339Z","4334Z",0.2495
"4339Z","4339Z",0.2495
"4339Z","4391B",0.9995
"4339Z","4399C",0.0904090909
"4339Z","4399D",0.1995
"4339Z","4673A",0.9995
"4339Z","4752A",0.9995
"4339Z","4932Z",0.9995
"4339Z","6420Z",0.9995
"4339Z","6820B",0.9995
"4339Z","7111Z",0.9995
"4339Z","7112B",0.9995
"4339Z","7410Z",0.9995
"4339Z","8121Z",0.1995
"4339Z","8130Z",0.9995
"4339Z","9329Z",0.9995
"4339Z","9529Z",0.9995
"4391A","0161Z",0.9995
"4391A","1623Z",0.1106111111
"4391A","2511Z",0.9995
"4391A","3511Z",0.9995
"4391A","4120A",0.4995
"4391A","4120B",0.3328333333
"4391A","4321A",0.9995
"4391A","4331Z",0.9995
"4391A","4332A",0.1106111111
"4391A","4391A",0.1661666667
"4391A","4391B",0.0339827586
"4391A","4399A",0.4995
"4391A","4399B",0.4995
"4391A","4673A",0.9995
"4391A","4939B",0.9995
"4391A","5210B",0.9995
"4391A","6420Z",0.9995
"4391A","6820B",0.4995
"4391A","7010Z",0.9995
"4391A","7311Z",0.9995
"4391A","7732Z",0.9995
"4391A","8230Z",0.9995
"4391B","3109B",0.9995
"4391B","3511Z",0.9995
"4391B","4110A",0.9995
"4391B","4120A",0.9995
"4391B","4321A",0.4995
"4391B","4322A",0.0995
"4391B","4322B",0.3328333333
"4391B","4329A",0.3328333333
"4391B","4331Z",0.9995
"4391B","4332A",0.9995
"4391B","4391A",0.0904090909
"4391B","4391B",0.1423571429
"4391B","4399A",0.0550555556
"4391B","4399B",0.4995
"4391B","4399C",0.9995
"4391B","4399D",0.9995
"4391B","4690Z",0.9995
"4391B","4778B",0.9995
"4391B","5630Z",0.9995
"4391B","5911A",0.9995
"4391B","5911C",0.4995
"4391B","6420Z",0.9995
"4391B","6630Z",0.9995
"4391B","6820B",0.4995
"4391B","7112B",0.9995
"4391B","7490A",0.9995
"4391B","8122Z",0.9995
"4391B","8130Z",0.9995
"4399A","4120B",0.9995
"4399A","4321A",0.9995
"4399A","4322B",0.9995
"4399A","4329A",0.4995
"4399A","4329B",0.9995
"4399A","4332B",0.9995
"4399A","4334Z",0.3328333333
"4399A","4391B",0.1423571429
"4399A","4399B",0.9995
"4399A","4399C",0.2495
"4399A","6312Z",0.9995
"4399A","6420Z",0.9995
"4399A","6820B",0.4995
"4399A","7010Z",0.9995
"4399A","7120B",0.4995
"4399A","8121Z",0.9995
"4399B","2511Z",0.3328333333
"4399B","2562B",0.9995
"4399B","3320A",0.9995
"4399B","4120B",0.9995
"4399B","4332B",0.9995
"4399B","4332C",0.9995
"4399B","4391B",0.9995
"4399B","4399A",0.3328333333
"4399B","4399B",0.4995
"4399B","4399C",0.9995
"4399B","4399D",0.9995
"4399B","4399E",0.3328333333
"4399B","4673A",0.9995
"4399B","6420Z",0.9995
"4399B","6820B",0.9995
"4399B","7490A",0.9995
"4399B","7732Z",0.4995
"4399B","8230Z",0.9995
"4399B","9002Z",0.9995
"4399C","2361Z",0.4995
"4399C","2370Z",0.1995
"4399C","2512Z",0.9995
"4399C","2561Z",0.9995
"4399C","3312Z",0.9995
"4399C","3320A",0.9995
"4399C","3320B",0.9995
"4399C","3900Z",0.4995
"4399C","4110A",0.2495
"4399C","4120A",0.015125
"4399C","4120B",0.0379615385
"4399C","4211Z",0.4995
"4399C","4213A",0.9995
"4399C","4299Z",0.4995
"4399C","4311Z",0.4995
"4399C","4312A",0.0661666667
"4399C","4312B",0.9995
"4399C","4321A",0.1423571429
"4399C","4322A",0.1995
"4399C","4322B",0.2495
"4399C","4329A",0.1106111111
"4399C","4331Z",0.0995
"4399C","4332A",0.1423571429
"4399C","4332B",0.4995
"4399C","4332C",0.9995
"4399C","4333Z",0.1245
"4399C","4334Z",0.0995
"4399C","4339Z",0.9995
"4399C","4391A",0.4995
"4399C","4391B",0.0904090909
"4399C","4399A",0.2495
"4399C","4399B",0.9995
"4399C","4399C",0.0298030303
"4399C","4399D",0.0764230769
"4399C","4399E",0.9995
"4399C","4511Z",0.9995
"4399C","4634Z",0.9995
"4399C","4663Z",0.9995
"4399C","4673B",0.9995
"4399C","4730Z",0.9995
"4399C","4791A",0.9995
"4399C","4932Z",0.9995
"4399C","4941A",0.9995
"4399C","4941B",0.3328333333
"4399C","4941C",0.9995
"4399C","5210B",0.4995
"4399C","5510Z",0.9995
"4399C","5520Z",0.2495
"4399C","5610A",0.4995
"4399C","6420Z",0.9995
"4399C","6630Z",0.9995
"4399C","6810Z",0.3328333333
"4399C","6820A",0.9995
"4399C","6820B",0.1245
"4399C","6831Z",0.4995
"4399C","6832A",0.9995
"4399C","7010Z",0.9995
"4399C","7111Z",0.9995
"4399C","7112B",0.1661666667
"4399C","7120B",0.9995
"4399C","7410Z",0.4995
"4399C","7490A",0.4995
"4399C","7490B",0.9995
"4399C","7732Z",0.9995
"4399C","7739Z",0.9995
"4399C","8121Z",0.3328333333
"4399C","8130Z",0.9995
"4399C","8211Z",0.4995
"4399C","8559A",0.9995
"4399C","9529Z",0.9995
"4399D","2370Z",0.3328333333
"4399D","3109B",0.9995
"4399D","3320B",0.9995
"4399D","3900Z",0.9995
"4399D","4120A",0.2495
"4399D","4120B",0.9995
"4399D","4221Z",0.9995
"4399D","4291Z",0.9995
"4399D","4299Z",0.9995
"4399D","4311Z",0.9995
"4399D","4312A",0.1995
"4399D","4321A",0.9995
"4399D","4322A",0.9995
"4399D","4322B",0.9995
"4399D","4331Z",0.9995
"4399D","4333Z",0.4995
"4399D","4334Z",0.3328333333
"4399D","4391B",0.4995
"4399D","4399A",0.9995
"4399D","4399C",0.0828333333
"4399D","4399D",0.1423571429
"4399D","4511Z",0.9995
"4399D","4520A",0.9995
"4399D","4649Z",0.4995
"4399D","4752A",0.2495
"4399D","4752B",0.4995
"4399D","4799A",0.9995
"4399D","4941A",0.9995
"4399D","6420Z",0.4995
"4399D","6820B",0.9995
"4399D","7112B",0.9995
"4399D","8122Z",0.4995
"4399D","8129B",0.9995
"4399D","9603Z",0.4995
"4399E","0240Z",0.9995
"4399E","4312A",0.1995
"4399E","4312B",0.9995
"4399E","4399B",0.9995
"4399E","4399E",0.4995
"4399E","4941B",0.4995
"4399E","4941C",0.9995
"4399E","5224B",0.4995
"4399E","7732Z",0.1661666667
"4399E","7739Z",0.9995
"4511Z","2562B",0.9995
"4511Z","2830Z",0.9995
"4511Z","2920Z",0.9995
"4511Z","3316Z",0.9995
"4511Z","3831Z",0.9995
"4511Z","4110C",0.9995
"4511Z","4331Z",0.4995
"4511Z","4334Z",0.9995
"4511Z","4511Z",0.03075
"4511Z","4519Z",0.0495
"4511Z","4520A",0.0038859649
"4511Z","4520B",0.0995
"4511Z","4531Z",0.1995
"4511Z","4532Z",0.0661666667
"4511Z","4540Z",0.0904090909
"4511Z","4614Z",0.4995
"4511Z","4619B",0.9995
"4511Z","4649Z",0.9995
"4511Z","4661Z",0.4995
"4511Z","4663Z",0.9995
"4511Z","4669B",0.9995
"4511Z","4677Z",0.9995
"4511Z","4730Z",0.3328333333
"4511Z","4752A",0.9995
"4511Z","4764Z",0.9995
"4511Z","4771Z",0.4995
"4511Z","4779Z",0.9995
"4511Z","4932Z",0.1661666667
"4511Z","4941A",0.1661666667
"4511Z","4941B",0.9995
